datetime,time_taken,question,answer,correct
2025-02-01 15:18:56,1113.87,558 / 62,9,True
2025-02-01 15:19:04,8.42,6 * 31,186,True
2025-02-01 15:19:06,1.64,36 + 60,96,True
2025-02-01 15:19:09,2.6,65 / 13,5,True
2025-02-01 15:19:11,2.8,50 - 22,33,False
2025-02-01 15:19:14,5.33,50 - 22,23,False
2025-02-01 15:19:17,8.79,50 - 22,27,False
2025-02-01 15:19:24,15.71,50 - 22,28,True
2025-02-01 15:19:27,3.12,75 - 2,73,True
2025-02-01 15:20:32,64.79,4 * 9,s,False
2025-02-01 15:20:41,73.27,4 * 9,36,True
2025-02-01 15:20:48,7.16,108 / 18,5,False
2025-02-01 15:20:49,7.85,108 / 18,6,True
2025-02-01 15:20:59,10.49,6 * 57,335,False
2025-02-01 15:21:03,14.79,6 * 57,330,False
2025-02-01 15:21:11,22.02,6 * 57,324,False
2025-02-01 15:21:35,46.68,6 * 57,342,True
2025-02-01 15:21:37,1.43,550 / 50,11,True
2025-02-01 15:21:42,5.71,94 - 11,83,True
2025-02-01 15:22:05,22.97,83 - 24,59,True
2025-02-01 15:22:13,7.76,9 * 18,162,True
2025-02-01 15:22:15,1.94,880 / 88,11,False
2025-02-01 15:22:17,3.62,880 / 88,10,True
2025-02-01 15:22:19,2.38,50 - 8,42,True
2025-02-01 15:22:24,4.48,208 / 26,9,False
2025-02-01 15:22:25,5.66,208 / 26,8,True
2025-02-01 15:22:28,2.78,2 * 74,148,True
2025-02-01 15:22:40,11.94,71 - 48,27,False
2025-02-01 15:22:58,30.3,71 - 48,23,True
2025-02-01 15:23:13,14.88,18 + 21,,False
2025-02-01 15:23:38,40.04,18 + 21,39,True
2025-02-01 15:23:44,6.41,63 - 20,47,False
2025-02-01 15:23:48,10.35,63 - 20,43,True
2025-02-01 15:23:56,7.5,91 - 75,26,False
2025-02-01 15:23:58,9.26,91 - 75,27,False
2025-02-01 15:24:09,20.41,91 - 75,16,True
2025-02-01 15:24:13,4.53,26 + 84,110,True
2025-02-01 15:24:17,3.74,3 + 34,37,True
2025-02-01 15:24:20,2.59,72 / 9,8,True
2025-02-01 15:24:24,4.72,42 + 52,94,True
2025-02-01 15:24:27,2.93,3 * 75,225,True
2025-02-01 15:24:31,3.51,64 + 13,77,True
2025-02-01 15:24:34,2.62,32 + 64,96,True
2025-02-01 15:24:37,3.74,56 - 13,43,True
2025-02-01 15:24:45,7.25,3 * 93,198,False
2025-02-01 15:25:02,24.17,3 * 93,270,False
2025-02-01 15:25:03,25.67,3 * 93,270,False
2025-02-01 15:25:05,27.23,3 * 93,279,True
2025-02-01 15:25:06,1.44,78 - 75,3,True
2025-02-01 15:25:18,12.38,308 / 28,11,True
2025-02-01 15:25:21,2.39,48 + 8,56,True
2025-02-01 15:25:25,3.82,737 / 67,11,True
